Reaction_Name,Gene_ID,Pathway,Metabolite_ID,name,formula,charge,"formula, neutral",KEGG ID,CAS number   
deoxyguanylate kinase (dGMP:ATP),MG107,Nucleotides and nucleic acids,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
deoxyguanylate kinase (dGMP:ATP),MG107,Nucleotides and nucleic acids,dgmp,dGMP,C10H12N5O7P,-2.0,C10H14N5O7P,C00362,902-04-5
dihydrofolate reductase,MG228,Vitamins & Cofactor Biosynthesis,nadp,Nicotinamide adenine dinucleotide phosphate,C21H25N7O17P3,-3.0,,C00006,53-59-8
dihydrofolate reductase,MG228,Vitamins & Cofactor Biosynthesis,fol,Folate,C19H18N7O6,-1.0,C19H19N7O6,C00504,
dihydrofolate reductase,MG228,Vitamins & Cofactor Biosynthesis,dhf,"7,8-Dihydrofolate",C19H19N7O6,-2.0,C19H21N7O6,C00415,4033-27-6
dihydrofolate reductase,MG228,Vitamins & Cofactor Biosynthesis,nadph,Nicotinamide adenine dinucleotide phosphate - reduced,C21H26N7O17P3,-4.0,C21H30N7O17P3,C00005,2646-71-1
dihydrofolate reductase,MG228,Vitamins & Cofactor Biosynthesis,thf,"5,6,7,8-Tetrahydrofolate",C19H21N7O6,-2.0,C19H23N7O6,C00101,135-16-0
dihydrofolate reductase,MG228,Vitamins & Cofactor Biosynthesis,nadph,Nicotinamide adenine dinucleotide phosphate - reduced,C21H26N7O17P3,-4.0,C21H30N7O17P3,C00005,2646-71-1
dihydrofolate reductase,MG228,Vitamins & Cofactor Biosynthesis,fol,Folate,C19H18N7O6,-1.0,C19H19N7O6,C00504,
dihydrofolate reductase,MG228,Vitamins & Cofactor Biosynthesis,h,H+,H,1.0,,C00080,12408-02-5
dihydrofolate reductase,MG228,Vitamins & Cofactor Biosynthesis,nadp,Nicotinamide adenine dinucleotide phosphate,C21H25N7O17P3,-3.0,,C00006,53-59-8
dihydrofolate reductase,MG228,Vitamins & Cofactor Biosynthesis,thf,"5,6,7,8-Tetrahydrofolate",C19H21N7O6,-2.0,C19H23N7O6,C00101,135-16-0
dihydrofolate reductase,MG228,Vitamins & Cofactor Biosynthesis,dhf,"7,8-Dihydrofolate",C19H19N7O6,-2.0,C19H21N7O6,C00415,4033-27-6
dihydrofolate reductase,MG228,Vitamins & Cofactor Biosynthesis,nadph,Nicotinamide adenine dinucleotide phosphate - reduced,C21H26N7O17P3,-4.0,C21H30N7O17P3,C00005,2646-71-1
dihydrofolate reductase,MG228,Vitamins & Cofactor Biosynthesis,h,H+,H,1.0,,C00080,12408-02-5
dihydrofolate reductase,MG228,Vitamins & Cofactor Biosynthesis,nadp,Nicotinamide adenine dinucleotide phosphate,C21H25N7O17P3,-3.0,,C00006,53-59-8
Dipeptide transport via ABC system (ala-asp),MG077,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (ala-asp),MG077,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (ala-asp),MG077,Transport,ala-L-asp-L,L-alanyl-L-aspartate,C7H11N2O5,-1.0,C7H12N2O5,,
Dipeptide transport via ABC system (ala-asp),MG077,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (ala-asp),MG077,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (ala-asp),MG077,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (ala-asp),MG078,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (ala-asp),MG078,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (ala-asp),MG078,Transport,ala-L-asp-L,L-alanyl-L-aspartate,C7H11N2O5,-1.0,C7H12N2O5,,
Dipeptide transport via ABC system (ala-asp),MG078,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (ala-asp),MG078,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (ala-asp),MG078,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (ala-asp),MG079,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (ala-asp),MG079,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (ala-asp),MG079,Transport,ala-L-asp-L,L-alanyl-L-aspartate,C7H11N2O5,-1.0,C7H12N2O5,,
Dipeptide transport via ABC system (ala-asp),MG079,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (ala-asp),MG079,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (ala-asp),MG079,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (ala-asp),MG080,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (ala-asp),MG080,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (ala-asp),MG080,Transport,ala-L-asp-L,L-alanyl-L-aspartate,C7H11N2O5,-1.0,C7H12N2O5,,
Dipeptide transport via ABC system (ala-asp),MG080,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (ala-asp),MG080,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (ala-asp),MG080,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (gly-glu),MG077,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (gly-glu),MG077,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (gly-glu),MG077,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (gly-glu),MG077,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (gly-glu),MG077,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (gly-glu),MG077,Transport,gly-glu-L,glycyl-L-glutamic acid,C7H11N2O5,-1.0,C7H12N2O5,,
Dipeptide transport via ABC system (gly-glu),MG078,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (gly-glu),MG078,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (gly-glu),MG078,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (gly-glu),MG078,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (gly-glu),MG078,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (gly-glu),MG078,Transport,gly-glu-L,glycyl-L-glutamic acid,C7H11N2O5,-1.0,C7H12N2O5,,
Dipeptide transport via ABC system (gly-glu),MG079,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (gly-glu),MG079,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (gly-glu),MG079,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (gly-glu),MG079,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (gly-glu),MG079,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (gly-glu),MG079,Transport,gly-glu-L,glycyl-L-glutamic acid,C7H11N2O5,-1.0,C7H12N2O5,,
Dipeptide transport via ABC system (gly-glu),MG080,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (gly-glu),MG080,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (gly-glu),MG080,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (gly-glu),MG080,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (gly-glu),MG080,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (gly-glu),MG080,Transport,gly-glu-L,glycyl-L-glutamic acid,C7H11N2O5,-1.0,C7H12N2O5,,
Dipeptide transport via ABC system (gly-met),MG077,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (gly-met),MG077,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (gly-met),MG077,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (gly-met),MG077,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (gly-met),MG077,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (gly-met),MG077,Transport,gly-met-L,N-Glycyl-L-methionine,C7H14N2O3S,0.0,C7H14N2O3S,,
Dipeptide transport via ABC system (gly-met),MG078,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (gly-met),MG078,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (gly-met),MG078,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (gly-met),MG078,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (gly-met),MG078,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (gly-met),MG078,Transport,gly-met-L,N-Glycyl-L-methionine,C7H14N2O3S,0.0,C7H14N2O3S,,
Dipeptide transport via ABC system (gly-met),MG079,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (gly-met),MG079,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (gly-met),MG079,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (gly-met),MG079,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (gly-met),MG079,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (gly-met),MG079,Transport,gly-met-L,N-Glycyl-L-methionine,C7H14N2O3S,0.0,C7H14N2O3S,,
Dipeptide transport via ABC system (gly-met),MG080,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (gly-met),MG080,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (gly-met),MG080,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (gly-met),MG080,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (gly-met),MG080,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (gly-met),MG080,Transport,gly-met-L,N-Glycyl-L-methionine,C7H14N2O3S,0.0,C7H14N2O3S,,
Dipeptide transport via ABC system (met-ala),MG077,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (met-ala),MG077,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (met-ala),MG077,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (met-ala),MG077,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (met-ala),MG077,Transport,met-L-ala-L,met-L-ala-L,C8H16N2O3S,0.0,,,
Dipeptide transport via ABC system (met-ala),MG077,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (met-ala),MG078,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (met-ala),MG078,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (met-ala),MG078,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (met-ala),MG078,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (met-ala),MG078,Transport,met-L-ala-L,met-L-ala-L,C8H16N2O3S,0.0,,,
Dipeptide transport via ABC system (met-ala),MG078,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (met-ala),MG079,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (met-ala),MG079,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (met-ala),MG079,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (met-ala),MG079,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (met-ala),MG079,Transport,met-L-ala-L,met-L-ala-L,C8H16N2O3S,0.0,,,
Dipeptide transport via ABC system (met-ala),MG079,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (met-ala),MG080,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (met-ala),MG080,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (met-ala),MG080,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (met-ala),MG080,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (met-ala),MG080,Transport,met-L-ala-L,met-L-ala-L,C8H16N2O3S,0.0,,,
Dipeptide transport via ABC system (met-ala),MG080,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (gly-asp),MG077,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (gly-asp),MG077,Transport,gly-asp-L,N-glycyl-L-aspartic acid,C6H9N2O5,-1.0,C6H10N2O5,,
Dipeptide transport via ABC system (gly-asp),MG077,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (gly-asp),MG077,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (gly-asp),MG077,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (gly-asp),MG077,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (gly-asp),MG078,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (gly-asp),MG078,Transport,gly-asp-L,N-glycyl-L-aspartic acid,C6H9N2O5,-1.0,C6H10N2O5,,
Dipeptide transport via ABC system (gly-asp),MG078,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (gly-asp),MG078,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (gly-asp),MG078,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (gly-asp),MG078,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (gly-asp),MG079,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (gly-asp),MG079,Transport,gly-asp-L,N-glycyl-L-aspartic acid,C6H9N2O5,-1.0,C6H10N2O5,,
Dipeptide transport via ABC system (gly-asp),MG079,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (gly-asp),MG079,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (gly-asp),MG079,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (gly-asp),MG079,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (gly-asp),MG080,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (gly-asp),MG080,Transport,gly-asp-L,N-glycyl-L-aspartic acid,C6H9N2O5,-1.0,C6H10N2O5,,
Dipeptide transport via ABC system (gly-asp),MG080,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (gly-asp),MG080,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (gly-asp),MG080,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (gly-asp),MG080,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (gly-pro-L),MG077,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (gly-pro-L),MG077,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (gly-pro-L),MG077,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (gly-pro-L),MG077,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (gly-pro-L),MG077,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (gly-pro-L),MG077,Transport,gly-pro-L,"L-Proline, 1-glycyl-",C7H12N2O3,0.0,,,
Dipeptide transport via ABC system (gly-pro-L),MG078,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (gly-pro-L),MG078,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (gly-pro-L),MG078,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (gly-pro-L),MG078,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (gly-pro-L),MG078,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (gly-pro-L),MG078,Transport,gly-pro-L,"L-Proline, 1-glycyl-",C7H12N2O3,0.0,,,
Dipeptide transport via ABC system (gly-pro-L),MG079,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (gly-pro-L),MG079,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (gly-pro-L),MG079,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (gly-pro-L),MG079,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (gly-pro-L),MG079,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (gly-pro-L),MG079,Transport,gly-pro-L,"L-Proline, 1-glycyl-",C7H12N2O3,0.0,,,
Dipeptide transport via ABC system (gly-pro-L),MG080,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (gly-pro-L),MG080,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (gly-pro-L),MG080,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (gly-pro-L),MG080,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (gly-pro-L),MG080,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (gly-pro-L),MG080,Transport,gly-pro-L,"L-Proline, 1-glycyl-",C7H12N2O3,0.0,,,
Dipeptide transport via ABC system (cgly),MG077,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (cgly),MG077,Transport,cgly,Cys-Gly,C5H10N2O3S,0.0,,C01419,19246-18-5
Dipeptide transport via ABC system (cgly),MG077,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (cgly),MG077,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (cgly),MG077,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (cgly),MG077,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (cgly),MG078,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (cgly),MG078,Transport,cgly,Cys-Gly,C5H10N2O3S,0.0,,C01419,19246-18-5
Dipeptide transport via ABC system (cgly),MG078,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (cgly),MG078,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (cgly),MG078,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (cgly),MG078,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (cgly),MG079,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (cgly),MG079,Transport,cgly,Cys-Gly,C5H10N2O3S,0.0,,C01419,19246-18-5
Dipeptide transport via ABC system (cgly),MG079,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (cgly),MG079,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (cgly),MG079,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (cgly),MG079,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (cgly),MG080,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (cgly),MG080,Transport,cgly,Cys-Gly,C5H10N2O3S,0.0,,C01419,19246-18-5
Dipeptide transport via ABC system (cgly),MG080,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (cgly),MG080,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (cgly),MG080,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (cgly),MG080,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (ala-gln),MG077,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (ala-gln),MG077,Transport,ala-L-gln-L,ala-L-gln-L,C8H15N3O4,0.0,C8H15N3O4,,
Dipeptide transport via ABC system (ala-gln),MG077,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (ala-gln),MG077,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (ala-gln),MG077,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (ala-gln),MG077,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (ala-gln),MG078,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (ala-gln),MG078,Transport,ala-L-gln-L,ala-L-gln-L,C8H15N3O4,0.0,C8H15N3O4,,
Dipeptide transport via ABC system (ala-gln),MG078,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (ala-gln),MG078,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (ala-gln),MG078,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (ala-gln),MG078,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (ala-gln),MG079,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (ala-gln),MG079,Transport,ala-L-gln-L,ala-L-gln-L,C8H15N3O4,0.0,C8H15N3O4,,
Dipeptide transport via ABC system (ala-gln),MG079,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (ala-gln),MG079,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (ala-gln),MG079,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (ala-gln),MG079,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (ala-gln),MG080,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (ala-gln),MG080,Transport,ala-L-gln-L,ala-L-gln-L,C8H15N3O4,0.0,C8H15N3O4,,
Dipeptide transport via ABC system (ala-gln),MG080,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (ala-gln),MG080,Transport,h,H+,H,1.0,,C00080,12408-02-5
Dipeptide transport via ABC system (ala-gln),MG080,Transport,pi,Phosphate,HO4P,-2.0,H3O4P,C00009,14265-44-2
Dipeptide transport via ABC system (ala-gln),MG080,Transport,h2o,H2O,H2O,0.0,,C00001,7732-18-5
Dipeptide transport via ABC system (ala-glu),MG077,Transport,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
Dipeptide transport via ABC system (ala-glu),MG077,Transport,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
Dipeptide transport via ABC system (ala-glu),MG077,Transport,ala-L-glu-L,ala-L-glu-L,C8H15N3O4,0.0,C8H15N3O4,,
Dipeptide transport via ABC system (ala-glu),MG077,Transport,h,H+,H,1.0,,C00080,12408-02-5
