Abbreviation,Name,"Equation (note [c] and [e] at the beginning refer to the compartment 
the reaction takes place in, cytosolic and extracellular respectively)",Subsystem,Protein Classification,Locus name
PTRCt2,"putrescine transport in via proton symport, reversible",h[e] + ptrc[e] <==> h[c] + ptrc[c],Transport,,MG226 and MG225
PUNP1,purine-nucleoside phosphorylase (Adenosine),[c] : adn + pi <==> ade + r1p,Nucleotide Salvage Pathways,EC-2.4.2.1,MG049
PUNP2,purine-nucleoside phosphorylase (Deoxyadenosine),[c] : dad-2 + pi <==> 2dr1p + ade,Nucleotide Salvage Pathways,EC-2.4.2.1,MG049
PUNP3,purine-nucleoside phosphorylase (Guanosine),[c] : gsn + pi <==> gua + r1p,Nucleotide Salvage Pathways,EC-2.4.2.1,MG049
PUNP4,purine-nucleoside phosphorylase (Deoxyguanosine),[c] : dgsn + pi <==> 2dr1p + gua,Nucleotide Salvage Pathways,EC-2.4.2.1,MG049
PUNP5,purine-nucleoside phosphorylase (Inosine),[c] : ins + pi <==> hxan + r1p,Nucleotide Salvage Pathways,EC-2.4.2.1,MG049
PUNP6,purine-nucleoside phosphorylase (Deoxyinosine),[c] : din + pi <==> 2dr1p + hxan,Nucleotide Salvage Pathways,EC-2.4.2.1,MG049
PUNP7,purine-nucleoside phosphorylase (Xanthosine),[c] : pi + xtsn <==> r1p + xan,Nucleotide Salvage Pathways,EC-2.4.2.1,MG049
PYDXK,pyridoxal kinase (Pyridoxal),[c] : atp + pydx --> adp + (2) h + pydx5p,Transport,EC-2.7.1.35,
PYDXt,Pyridoxal transport,pydx[e] --> pydx[c],Transport,,
PYK,pyruvate kinase,[c] : adp + h + pep --> atp + pyr,Carbohydrates and related molecules,EC-2.7.1.40,MG216
PYNP1r,pyrimidine-nucleoside phosphorylase (cytosine),[c] : csn + r1p <==> cytd + pi,Nucleotides and nucleic acids,EC-2.4.2.2,MG051
PYNP2,pyrimidine-nucleoside phosphorylase (uracil),[c] : pi + uri <==> r1p + ura,Nucleotides and nucleic acids,EC-2.4.2.2,MG051
RBFK,riboflavin kinase,[c] : atp + ribflv --> adp + fmn + h,Coenzymes and prosthetic groups,EC-2.7.1.26,MG145
RBK,ribokinase,[c] : atp + rib-D --> adp + h + r5p,Alternate Carbon Metabolism,EC-2.7.1.15,
RIBabc,D-ribose transport via ABC system,atp[c] + h2o[c] + rib-D[e] --> adp[c] + h[c] + pi[c] + rib-D[c],Transport,TC-3.A.1.2,MG119
RIBFLVt2,riboflavin transport in via proton symport,h[e] + ribflv[e] --> h[c] + ribflv[c],Transport,,
RNDR1,ribonucleoside-diphosphate reductase (ADP),[c] : adp + trdrd --> dadp + h2o + trdox,Nucleotides and nucleic acids,EC-1.17.4.1,MG229 and MG230 and MG231
RNDR2,ribonucleoside-diphosphate reductase (GDP),[c] : gdp + trdrd --> dgdp + h2o + trdox,Nucleotides and nucleic acids,EC-1.17.4.1,MG229 and MG230 and MG231
RNDR3,ribonucleoside-diphosphate reductase (CDP),[c] : cdp + trdrd --> dcdp + h2o + trdox,Nucleotide Salvage Pathways,EC-1.17.4.1,MG229 and MG230 and MG231
RNDR4,ribonucleoside-diphosphate reductase (UDP),[c] : trdrd + udp --> dudp + h2o + trdox,Nucleotides and nucleic acids,EC-1.17.4.1,MG229 and MG230 and MG231
RPE,ribulose 5-phosphate 3-epimerase,[c] : ru5p-D <==> xu5p-D,Pentose Phosphate Pathway,EC-5.1.3.1,MG112
RPI,ribose-5-phosphate isomerase,[c] : r5p <==> ru5p-D,Carbohydrates and related molecules,EC-5.3.1.6,MG396
SALCpts,salicin transport via PEP:Pyr PTS,pep[c] + salcn[e] --> pyr[c] + salc6p[c],Transport,,MG041 and MG429
SERt2,L-serine transport in via proton symport,h[e] + ser-L[e] --> h[c] + ser-L[c],Transport,TC-2.A.42,
SERTRS,Seryl-tRNA synthetase,[c] : atp + ser-L + trnaser --> amp + ppi + sertrna,Glycine and Serine Metabolism,EC-6.1.1.11,MG005
SO4t2,sulfate transport in via proton symport,h[e] + so4[e] --> h[c] + so4[c],Transport,TC-2.A.53,
SPMDabc,spermidine transport via ABC system,atp[c] + h2o[c] + spmd[e] --> adp[c] + h[c] + pi[c] + spmd[c],Transport,TC-3.A.1.11,MG042 and MG043 and MG044
SUCpts,sucrose transport via PEP:Pyr PTS,pep[c] + sucr[e] --> pyr[c] + suc6p[c],Transport,,MG041 and MG429
TECA4S,minor teichoic acid synthesis (n=30),[c] : (30) h2o + (30) uacgala + (30) udpg --> (60) h + tcam + (30) udp + (30) ump,Cell Envelope Biosynthesis,,MG025
TEICH45,"teichuronic acid (n=45), unlinked, GalNAc-GlcA repeated",[c] : (45) uacgala + (45) udpglcur <==> (45) h + teich-45 + (45) udp + (45) ump,Cell Envelope Biosynthesis,,MG075
THDPO,thiol peroxidase,[c] : h2o2 + trdrd --> (2) h2o + trdox,,,MG124
THM2t2,Thiamine transport in via proton symport,h[e] + thm[e] --> h[c] + thm[c],Transport,,
THMDt2,thymidine transport in via proton symport,h[e] + thymd[e] --> h[c] + thymd[c],Transport,,
THRTRS,Threonyl-tRNA synthetase,[c] : atp + thr-L + trnathr --> amp + ppi + thrtrna,Threonine and Lysine Metabolism,EC-6.1.1.3,MG375
THZPSN,thiazole phosphate synthesis,[c] : atp + cys-L + dxyl5p + tyr-L --> 4hba + 4mpetz + ala-L + amp + co2 + h + h2o + ppi,Cofactor and Prosthetic Group Biosynthesis,,MG372
TKT1,transketolase,[c] : r5p + xu5p-D <==> g3p + s7p,Carbohydrates and related molecules,EC-2.2.1.1,MG066
TKT2,transketolase,[c] : e4p + xu5p-D <==> f6p + g3p,Carbohydrates and related molecules,EC-2.2.1.1,MG066
TMDK1,thymidine kinase (ATP:thymidine),[c] : atp + thymd --> adp + dtmp + h,Nucleotide Salvage Pathway,EC-2.7.1.21,MG034
TMDPK,thiamine diphosphokinase,[c] : atp + thm --> amp + h + thmpp,Transport,EC-2.7.6.2,
TMDPP,thymidine phosphorylase,[c] : pi + thymd <==> 2dr1p + thym,Nucleotides and nucleic acids,EC-2.4.2.4,MG051
TMDS,thymidylate synthase,[c] : dump + mlthf --> dhf + dtmp,Nucleotides and nucleic acids,EC-2.1.1.45,MG227
TPI,triose-phosphate isomerase,[c] : dhap <==> g3p,Carbohydrates and related molecules,EC-5.3.1.1,MG431
TRDR,thioredoxin reductase (NADPH),[c] : h + nadph + trdox --> nadp + trdrd,Membrane bioenergetics,EC-1.8.1.9,MG102
TREpts,trehalose transport via PEP:Pyr PTS,pep[c] + tre[e] --> pyr[c] + tre6p[c],Transport,,MG041 and MG429
TRIA,membrane alanyl aminopeptidase,[c] : cgly + h2o <==> cys-L + gly,Amino acids and related molecules,EC-3.4.11.2,
TRPt2,L-tryptophan transport in via proton symport,h[e] + trp-L[e] --> h[c] + trp-L[c],Transport,TC-2.A.3.1,
TRPTRS,Tryptophanyl-tRNA synthetase,[c] : atp + trnatrp + trp-L --> amp + ppi + trptrna,tRNA Charging,EC-6.1.1.2,MG126
TYRt2,tyrosine peroxisomal transport via proton symport,h[c] + tyr-L[c] <==> h[e] + tyr-L[e],Transport,,
TYRTRS,Tyrosyl-tRNA synthetase,[c] : atp + trnatyr + tyr-L --> amp + ppi + tyrtrna,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",EC-6.1.1.1,MG455
UAG4E,UDP-N-acetylglucosamine 4-epimerase,[c] : uacgam --> uacgala,Carbohydrates and related molecules,EC-5.1.3.7,MG118
UAGDP,UDP-N-acetylglucosamine diphosphorylase,[c] : acgam1p + h + utp --> ppi + uacgam,Lipid & Cell Membrane Metabolism,EC-2.7.7.23,
UDPG4E,UDPglucose 4-epimerase,[c] : udpg <==> udpgal,Carbohydrates and related molecules,EC-5.1.3.2,MG118
UDPGALM,UDPgalactopyranose mutase,[c] : udpgal --> udpgalfur,Cell Envelope Biosynthesis,EC-5.4.99.9,MG137
UDPGD,UDPglucose 6-dehydrogenase,[c] : h2o + (2) nad + udpg <==> (3) h + (2) nadh + udpglcur,Lipid & Cell Membrane Metabolism,EC-1.1.1.22,
UGT1,UDP-glucosyltransferase (monoglucosyl),[c] : 12dgr + udpg --> h + m12dg + udp,Lipid & Cell Membrane Metabolism,,
UGT2,UDP-glucosyltransferase (diglucosyl),[c] : m12dg + udpg --> h + d12dg + udp,Lipid & Cell Membrane Metabolism,,
UGT3,UDP-glucosyltransferase (triglucosyl),[c] : d12dg + udpg --> h + t12dg + udp,Lipid & Cell Membrane Metabolism,,
UPPRT,uracil phosphoribosyltransferase,[c] : prpp + ura --> ppi + ump,Nucleotides and nucleic acids,EC-2.4.2.9,MG030
URAt2,uracil transport in via proton symport,h[e] + ura[e] --> h[c] + ura[c],Transport,TC-2.A.40,
URIDK1,uridylate kinase (UMP),[c] : atp + ump --> adp + udp,Nucleotides and nucleic acids,,MG330 and MG434
URIDK3,uridylate kinase (dUMP),[c] : atp + dump <==> adp + dudp,Nucleotides and nucleic acids,EC-2.7.4.4,MG330 and MG434
URIK1,uridine kinase (ATP:Uridine),[c] : atp + uri --> adp + h + ump,Nucleotides and nucleic acids,EC-2.7.1.48,MG382
URIK2,uridine kinase (GTP:Uridine),[c] : gtp + uri --> gdp + h + ump,Nucleotides and nucleic acids,EC-2.7.1.48,MG382
URIK3,uridine kinase (ITP:Uridine),[c] : itp + uri --> h + idp + ump,Nucleotides and nucleic acids,EC-2.7.1.48,MG382
VALt2,L-valine transport in via proton symport,h[e] + val-L[e] --> h[c] + val-L[c],Transport,,
VALTRS,Valyl-tRNA synthetase,[c] : atp + trnaval + val-L --> amp + ppi + valtrna,tRNA Charging,EC-6.1.1.9,MG334
ZN2t4,zinc transport out via antiport,h[e] + k[e] + zn2[c] --> h[c] + k[c] + zn2[e],Transport,,
